일자,"2023년
비중(%)",평균가격(원/kg)
20230101,30.66,
20230102,31.96,20400
20230103,32.3,18450
20230104,31.99,17340
20230105,30.24,16140
20230106,27.41,15300
20230107,24.79,14570
20230108,26.98,
20230109,25.72,14050
20230110,23.48,13630
20230111,22.047,13280
20230112,21.469,12930
20230113,21.735,12670
20230114,20.017,12430
20230115,18.728,
20230116,15.692,12260
20230117,13.719,12120
20230118,12.997,12030
20230119,16.003,12080
20230120,17.696,12110
20230121,17.018,12030
20230122,17.081,
20230123,16.643,
20230124,15.696,
20230125,17.616,12020
20230126,17.377,12050
20230127,18.102,12100
20230128,21.127,12110
20230129,20.89,
20230130,20.778,12010
20230131,18.214,11870
20230201,12.724,11730
20230202,6.793,11620
20230203,2.681,11530
20230204,0.357,11470
20230205,0.664,
20230206,0.77,11410
20230207,3.123,11340
20230208,5.346,11250
20230209,7.336,11140
20230210,6.717,11030
20230211,6.572,10910
20230212,9.045,
20230213,7.493,10800
20230214,4.747,10700
20230215,3.704,10610
20230216,5.405,10530
20230217,8.375,10480
20230218,12.528,10430
20230219,14.574,
20230220,19.354,10380
20230221,25.869,10350
20230222,33.73,10320
20230223,37.69,10290
20230224,40.74,10290
20230225,42.68,10310
20230226,43.19,
20230227,45.69,10320
20230228,46.95,10320
20230301,47.7,10340
20230302,48.65,10350
20230303,48.88,10370
20230304,48.27,10380
20230305,47.48,
20230306,46.51,10380
20230307,45.32,10370
20230308,43.09,10340
20230309,40.11,10290
20230310,36.41,10240
20230311,31.88,10170
20230312,32.59,
20230313,27.69,10100
20230314,22.69,10030
20230315,18.075,9960
20230316,13.677,9880
20230317,9.866,9810
20230318,7.92,9750
20230319,7.083,
20230322,9.095,9590
20230323,11.167,9540
20230324,12.65,9490
20230325,13.481,9450
20230326,11.757,
20230327,12.548,9400
20230328,9.899,9350
20230329,7.828,9310
20230330,7.245,9270
20230331,8.737,9240
20230401,11.386,9220
20230402,12.633,
20230403,17.12,9210
20230404,24.522,9210
20230405,30.277,9210
20230406,33.14,9190
20230407,33.648,9160
20230408,31.393,9120
20230409,32.141,
20230410,28.617,9090
20230411,24.595,9070
20230412,22.893,9060
20230413,22.878,9040
20230414,24.723,9030
20230415,27.46,9020
20230416,26.48,
20230417,27.68,9020
20230418,28.18,9010
20230420,27.31,8980
20230421,26.83,8970
20230422,25.93,8960
20230423,25.93,
20230424,25.33,8940
20230425,25.21,8930
20230426,24.99,8920
20230427,,8900
20230428,,8880
20230429,,8870
20230430,,
20230501,,8900
20230502,,8900
20230503,,8910
20230504,,8930
20230505,,8950
20230506,,8960
20230507,,
20230508,,8960
20230509,,8950
20230510,,8940
20230511,,8940
20230512,,8940
20230513,,8960
20230514,,
20230515,,8970
20230516,,8970
20230517,,8960
20230518,,8950
20230519,,8930
20230520,,8910
20230521,,
20230522,,8890
20230523,,8860
20230524,,8840
20230525,,8810
20230526,,8780
20230527,,
20230528,,
20230529,,
20230530,,
20230531,,
20230601,,
20230602,,
20230603,,
20230604,,
20230605,,
20230606,,
20230607,,
20230608,,
20230609,,
20230610,,
20230611,,
20230612,,
20230613,,
20230614,,
20230615,,
20230616,,
20230617,,
20230618,,
20230619,,
20230620,,
20230621,,
20230622,,
20230623,,
20230624,,
20230625,,
20230626,,
20230627,,
20230628,,
20230629,,
20230630,,
20230701,,
20230702,,
20230703,,
20230704,,
20230705,,
20230706,,
20230707,,
20230708,,
20230709,,
20230710,,
20230711,,
20230712,,
20230713,,
20230714,,
20230715,,
20230716,,
20230717,,
20230718,,
20230719,,
20230720,,
20230721,,
20230722,,
20230723,,
20230724,,
20230725,,
20230726,,
20230727,,
20230728,,
20230729,,
20230730,,
20230731,,
20230801,,
20230802,,
20230803,,
20230804,,
20230805,,
20230806,,
20230807,,
20230808,,
20230809,,
20230810,,
20230811,,
20230812,,
20230813,,
20230814,,
20230815,,
20230816,,
20230817,,
20230818,,
20230819,,
20230820,,
20230821,,
20230822,,
20230823,,
20230824,,
20230825,,
20230826,,
20230827,,
20230828,,
20230829,,
20230830,,
20230831,,
20230901,,
20230902,,
20230903,,
20230904,,
20230905,,
20230906,,
20230907,,
20230908,,
20230909,,
20230910,,
20230911,,
20230912,,
20230913,,
20230914,,
20230915,,
20230916,,
20230917,,
20230918,,
20230919,,
20230920,,
20230921,,
20230922,,
20230923,,
20230924,,
20230925,,
20230926,,
20230927,,
20230928,,
20230929,,
20230930,,
20231001,,
20231002,,
20231003,,
20231004,,
20231005,,
20231006,,
20231007,,
20231008,,
20231009,,
20231010,,
20231011,,
20231012,,
20231013,,
20231014,,
20231015,,
20231016,,
20231017,,
20231018,,
20231019,,
20231020,,
20231021,,
20231022,,
20231023,,
20231024,,
20231025,,
20231026,,
20231027,,
20231028,,
20231029,,
20231030,,
20231031,,
20231101,,
20231102,,
20231103,,
20231104,,
20231105,,
20231106,,
20231107,,
20231108,,
20231109,,
20231110,,
20231111,,
20231112,,
20231113,,
20231114,,
20231115,,
20231116,,
20231117,,
20231118,,
20231119,,
20231120,,
20231121,,
20231122,,
20231123,,
20231124,,
20231125,,
20231126,,
20231127,,
20231128,,
20231129,,
20231130,,
20231201,,
20231202,,
20231203,,
20231204,,
20231205,,
20231206,,
20231207,,
20231208,,
20231209,,
20231210,,
20231211,,
20231212,,
20231213,,
20231214,,
20231215,,
20231216,,
20231217,,
20231218,,
20231219,,
20231220,,
20231221,,
20231222,,
20231223,,
20231224,,
20231225,,
20231226,,
20231227,,
20231228,,
20231229,,
20231230,,
20231231,,